,name,online_order,book_table,rate,dish_liked,approx_cost(for two people)
73,LSD Cafe,0,No,2.9outof5,,700
74,Rolls On Wheels,0,No,3.6outof5,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",300
75,Om Sri Vinayaka Chats,0,No,NEW,,500
76,Sri Guru Kottureshwara Davangere Benne Dosa,0,No,4.1outof5,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",150
77,Devanna Dum Biriyani Centre,0,No,3.6outof5,,300
78,Kolbeh,0,No,3.7outof5,,500
79,Upahar Sagar,0,No,3.8outof5,Masala Dosa,350
80,Kadalu Sea Food Restaurant,0,No,3.8outof5,,500
81,Frozen Bottle,0,No,4.2outof5,"Berryblast, Waffles, Cheesecake, Salted Caramel",400
82,Parimala Sweets,0,No,3.5outof5,,200
83,Vaishali Deluxe,0,No,3.8outof5,,700
84,Chill Out,0,No,,,100
85,The Big O Bakes,0,No,4.0outof5,,300
86,Meghana Foods,0,No,4.4outof5,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",600
87,Krishna Sagar,0,No,3.5outof5,,200
88,Dessert Rose,0,No,3.5outof5,,500
89,Chickpet Donne Biryani House,0,No,3.7outof5,,250
90,Me And My Cake,0,No,,,500
91,Sunsadm,0,No,,,400
92,Annapooraneshwari Mess,0,No,,,200
93,Thanco's Natural Ice Creams,0,No,3.2outof5,,300
94,Nandhini Deluxe,0,No,2.6outof5,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",600
95,Vi Ra's Bar and Restaurant,0,No,3.3outof5,Chilli Chicken,800
96,Kaggis,0,No,3.8outof5,,250
97,Ayda Persian Kitchen,0,No,3.7outof5,,950
98,Chatar Patar,0,No,3.7outof5,"Panipuri, Chaat, Noodles, Dahi Bhalle",300
99,Polar Bear,0,No,3.8outof5,Hot Chocolate Fudge,400
100,Kidambi's Kitchen,0,No,3.5outof5,Rooftop Ambience,300
101,Mane Thindi,0,No,3.7outof5,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",200
102,Kotian Karavali Restaurant,0,No,3.5outof5,,300
103,Floured-Baked With Love,0,No,3.8outof5,"Cup Cake, Chocolate Cake",400
104,CAFE NOVA,0,No,3.2outof5,,600
105,Cakes & Slices,0,No,3.5outof5,,300
106,Spice 9,0,No,3.4outof5,,300
107,Coffee Shopee,0,No,,,250
108,Naveen Kabab & Biriyani Mane,0,No,3.2outof5,,300
109,Katriguppe Donne Biryani,0,No,3.2outof5,,300
110,Hari Super Sandwich,0,No,NEW,,200
111,Atithi Point Ande Ka Funda,0,No,3.1outof5,,150
112,Just Bake,0,No,3.4outof5,,400
113,Dharwad Line Bazaar Mishra Pedha,0,No,,,150
114,Cake Bite,0,No,,,300
115,Aarush's Food Plaza,0,No,,,200
116,Wood Stove,0,No,,,150
117,Kulfi & More,0,No,,,150
118,Kannadigas Karavali,0,No,,,250
119,K27 - The Pub,0,No,3.1outof5,,"1,000"
120,Bengaluru Coffee House,0,No,4.1outof5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",300
121,New Mangalore Lunch Home,0,No,3.3outof5,,200
122,Coffee Bytes,0,No,3.1outof5,,100
123,Parjanya Chat Zone,0,No,3.3outof5,,200
124,Kwality Wall's Swirl's Happiness Station,0,No,2.9outof5,,200
125,Soms Kitchen & Bakes,0,No,,,400
126,Banashankari Nati Style,0,No,,,350
127,Ruchi Maayaka,0,No,3.3outof5,,100
128,Mohitesh Hut Roll,0,No,,,150
129,Sri Basaveshwar Jolada Rotti Oota,0,No,,,150
130,Roll Magic Fast Food,0,No,NEW,,200
131,Foodlieious Multi Cuisine,0,No,NEW,,100
132,Thanishka Nati And Karavali Style,0,No,NEW,,400
133,Swathi Cool Point,0,No,,,200
134,Kaumudis Juoice,0,No,,,150
135,Amma - Manae,0,No,,,400
136,Sri Sai Tiffannies,0,No,,,150
137,Hotel Andhra Speices,0,No,,,250
138,Sri Murari Family Restaurant,0,No,,,250
139,Aramane Donne Biriyani,0,No,,,150
140,Darkolates,0,No,,,200
141,Swaada Healthy Kitchen,0,No,,,350
142,Gawdaru Mane Beriyani,0,No,,,300
143,Melting Melodies,0,No,NEW,,100
144,New Indraprasta,0,No,NEW,,150
145,Anna Kuteera,0,No,4.0outof5,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa",450
146,Darbar,0,No,3.0outof5,"Paneer Tikka, Dal Kichadi, French Fries",800
147,Vijayalakshmi,0,No,3.9outof5,,200
148,Sri Udupi Food Hub,0,Yes,4.1outof5,"Filter Coffee, Masala Dosa, Idli, Vada",500
149,Udupi Upahar,0,No,3.8outof5,,300
150,House Of Kebabs,0,No,3.8outof5,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice",650
151,Roll N Rock,0,No,3.8outof5,"Rolls, Paratha, Chicken Biryani",400
152,BOX8- Desi Meals,0,No,4.1outof5,"Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad",500
153,KFC,0,No,3.8outof5,"Burgers, French Fries",450
154,Bitez,0,No,NEW,,100
155,Roll Over,0,No,4.1outof5,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie",500
156,Imperial Restaurant,0,No,3.7outof5,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",750
157,Lassi Shop,0,No,3.9outof5,,150
158,The Fortuna,0,No,3.0outof5,,250
159,Wahab,0,No,3.7outof5,"Chicken Biryani, Rolls",350
160,Al Diwan Biryanis And More,0,No,3.3outof5,,300
161,New Gowda's Fried Chicken,0,No,3.3outof5,,300
162,Canton,0,No,3.6outof5,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",800
163,Diabetics Dezire Sugarless Sweets and Bakes,0,No,3.3outof5,,300
164,The Blue Wagon - Kitchen,0,No,4.6outof5,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich",400
165,HOT COFFEE,0,No,4.1outof5,,150
166,Patio 805,0,Yes,4.1outof5,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","1,200"
167,Lassi Corner,0,No,3.7outof5,Lassi,150
168,Sagar Deluxe,0,No,3.2outof5,"Coffee, Chaat",300
169,Kanti Sweets,0,No,4.0outof5,,400
170,Vegetalia,0,No,3.7outof5,,400
171,Aramane Donne Biryani,0,No,3.5outof5,,200
172,Ande Ka Funda,0,No,3.8outof5,,250
173,Cake Ghar,0,No,3.8outof5,,400
174,Energy Addaa,0,No,4.2outof5,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",500
175,Bhattara Bhojana,0,No,3.6outof5,,150
176,Tandoori Knight,0,No,3.0outof5,"Chicken Grill, Biryani, Roti, Chicken Masala",450
177,Dev Sagar - Food Street,0,No,4.1outof5,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",200
178,Mitraa Da Pizza,0,No,3.8outof5,"Pizza, Burgers",250
179,Paradise Premium,0,No,3.1outof5,,700
180,Grazers,0,Yes,3.9outof5,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",650
181,Shakes Theory,0,No,4.5outof5,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri",300
182,@Italy,0,No,4.1outof5,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",700
183,Chilli Flakes,0,No,3.6outof5,,500
184,Calcutta Cafe,0,No,3.5outof5,,350
185,Old Mumbai Ice Cream,0,No,3.9outof5,Friendly Staff,150
186,Donne Biriyani House,0,No,3.9outof5,Biryani,400
187,By 2 Coffee,0,No,3.9outof5,,100
188,Kedia's Fun Food,0,No,4.3outof5,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",200
189,Davangere Butter Dosa Hotel,0,No,3.8outof5,,150
190,Just Shawarma,0,No,3.9outof5,"Whole Meat Shawarma, Fries",300
191,Mini Punjabi Dhaba,0,No,4.2outof5,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",350
192,Mulabagilu Dosa,0,No,3.6outof5,,100
193,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,0,No,4.1outof5,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",500
194,Gokul Veg,0,No,3.8outof5,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti",750
195,Olive - Era,0,No,3.3outof5,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",550
196,Udupi Ruchi,0,No,3.9outof5,,200
197,Madhappa Hindu Military Hotel,0,No,3.4outof5,,300
198,Gama Gama,0,No,3.9outof5,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",200
199,The Vintage Cafe,0,No,3.0outof5,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",400
200,Pizza Hut,0,No,3.8outof5,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread",750
201,Mangalore Pearl,0,No,3.8outof5,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",650
202,Asha Sweets Centre,0,No,3.6outof5,,250
203,Twiststick House,0,No,4.1outof5,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",500
204,Cool Corner,0,No,4.2outof5,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich",250
205,Pizza Mane,0,No,3.5outof5,"French Fries, Burgers",150
206,Dal Tadkaa,0,No,2.5outof5,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",500
207,Chutney Chang,0,Yes,4.1outof5,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","1,500"
208,Mystique Palate,0,No,4.1outof5,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",300
209,Thamboola,0,No,3.9outof5,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",800
210,Castle Rock,0,No,3.6outof5,Biryani,700
211,Vietnamese Kitchen,0,No,3.6outof5,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",700
212,Smacznego,0,No,4.2outof5,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",550
213,C Corner,0,No,3.2outof5,,200
214,Paratha Merchant,0,No,3.1outof5,,300
215,North Rasoe,0,No,3.1outof5,,500
216,Inchara Restaurant,0,No,,,300
217,Toscano,0,Yes,4.3outof5,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","1,300"
218,Lord Of The Kitchen,0,No,3.9outof5,,350
219,Stoned Monkey,0,No,4.3outof5,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu",500
220,Central Jail Restaurant,0,No,3.8outof5,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken",700
221,Bella,0,Yes,3.9outof5,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","1,000"
222,Vennela Andhra Meals,0,No,3.0outof5,,400
223,New Prashanth Hotel,0,No,3.6outof5,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",750
224,The Grillo,0,Yes,2.8outof5,,500
225,Re Malnad Nati Style Hotel,0,No,3.6outof5,,400
226,Karma Kaapi,0,No,4.4outof5,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano",250
227,Tiwari's,0,No,3.8outof5,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha",200
228,Pizza Stop,0,No,3.8outof5,"Pizza, White Sauce Pasta, Masala Garlic Bread",600
229,Biggies Burger 'n' More,0,No,3.6outof5,"Burgers, Fries, Mojito, Chicken Burger",650
230,Srinathji's Cafe,0,No,3.8outof5,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550
231,Kollapuri's,0,No,3.9outof5,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",450
232,Sugar Stars Co,0,No,,,300
233,Bombay Kulfis,0,No,,,200
234,Kadamba Classic,0,No,3.6outof5,,300
235,RS Shiv Sagar,0,No,3.7outof5,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda",450
236,Kholi Mane,0,No,3.6outof5,,450
237,Harshi Super Sandwich,0,No,3.8outof5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",150
238,Cake Yard,0,No,3.4outof5,,250
239,Rosewood International Hotel - Bar & Restaurant,0,No,3.6outof5,,800
240,Sri Udupi Veg,0,No,3.3outof5,,250
241,Cake Art,0,No,3.5outof5,,400
242,Aahar Cafe,0,No,,,100
243,Akash Gowdru Biryani Center,0,No,,,300
244,New Sri Udupi Restaurant,0,No,,,200
245,Potato House,0,No,3.4outof5,,200
246,Hotel Biriyani Counter,0,No,,,350
247,Matru Sagar,0,No,3.7outof5,,300
248,Ugadi,0,No,2.9outof5,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",700
249,Sri Krishna Sweets,0,No,3.7outof5,,250
250,In Time Cane Juice,0,No,3.5outof5,,100
251,Subway,0,No,3.7outof5,"Veggie Delight, Paneer Tikka, Salad",600
252,Daal Roti,0,No,2.9outof5,,250
253,The Lassi Park,0,No,4.1outof5,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",200
254,Cafe Coffee Day,0,No,3.2outof5,,900
255,A2B - Adyar Ananda Bhavan,0,No,3.8outof5,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath",400
256,Srikrishna Bhavan,0,No,3.8outof5,"Roti, Masala Dosa",300
257,Timepass Dinner,0,No,3.8outof5,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",600
258,Green Gardenia,0,No,3.8outof5,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti",700
259,J Spice,0,No,3.8outof5,"Stuffed Mushroom, Chicken Biryani, Jal-jeera",750
260,Karavali Family Restaurant,0,No,3.5outof5,,500
261,Karavali Lunch Home,0,No,3.7outof5,,350
262,Hatti Kaapi,0,No,4.0outof5,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa",200
263,Kolkata Kathi Roll's,0,No,3.6outof5,,250
264,Upahara Darshini,0,No,3.9outof5,Masala Dosa,600
265,The Chaat Shop,0,No,2.5outof5,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",200
266,Anda Ka Funda,0,No,3.4outof5,,250
267,Shri Vinayaka Ice N Juice,0,No,3.2outof5,,150
268,My Tea House,0,No,3.6outof5,"Pasta, Iced Tea",600
269,Ibaco,0,No,3.9outof5,,300
270,Jalaram Sweets,0,No,3.8outof5,,250
271,Samskruti - Sanman Gardenia,0,No,4.1outof5,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka",550
272,Bendakaluru Bytes,0,No,3.2outof5,,300
273,Cocoa Bakes,0,No,3.6outof5,,350
274,Chumma Delicious,0,No,3.7outof5,Chicken Biryani,200
275,New Prashanth Hotel,0,No,3.9outof5,"Chicken Biryani, Ragi Mudde, Mutton Chops",650
276,SSV Upahar,0,No,NEW,,300
277,Dwaraka Grand,0,No,3.9outof5,"Masala Dosa, Coffee",500
278,Gufha - The President Hotel,0,Yes,4.1outof5,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","1,200"
279,Cafe Vivacity,0,No,3.8outof5,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",650
280,Tanna's Kitchen,0,No,3.1outof5,,250
281,Shree Mandarathi Grand,0,No,3.7outof5,,400
282,Mojo Pizza - 2X Toppings,0,No,4.2outof5,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",600
283,Iceberg Icecreams,0,No,4.0outof5,,250
284,South Kitchen,0,No,4.3outof5,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",100
285,Chung Wah,0,No,3.7outof5,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings",850
286,Shanthi Sagar,0,No,3.1outof5,,400
287,Millet Mama,0,No,3.9outof5,,200
288,Bangarpet Chat Express,0,No,3.3outof5,,100
289,South Cool Point,0,No,,,100
290,Prems Graama Bhojanam,0,No,4.3outof5,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",400
291,Java City,0,No,2.6outof5,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza",450
292,Kamat Bugle Rock,0,No,3.9outof5,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani",300
293,Woodee Pizza,0,No,3.7outof5,"Pizza, Garlic Bread",500
294,Puliyogare Point,0,No,4.2outof5,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",100
295,Bangalore Agarwal Bhavan,0,No,3.9outof5,"Paratha, Coffee, Halwa, Lassi",400
296,Rustic Stove,0,No,3.8outof5,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish",900
297,Udupi Ruchi Grand,0,No,4.2outof5,,200
298,De Thaali,0,No,3.9outof5,"Malai Kofta, Sandwich, Naan",550
299,Spice Elephant,0,No,4.1outof5,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",800
300,Just Thindi,0,No,3.6outof5,,200
301,Matru Sagar,0,No,3.6outof5,"Coffee, Masala Dosa",250
302,Vasanth Vihar - Since 1965,0,No,3.6outof5,,150
303,Sea Spice by 7 Star,0,Yes,4.0outof5,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","1,200"
304,Desi Dawat,0,No,3.7outof5,"Tandoori Chicken, Rolls",400
305,Cafe Aira,0,No,4.1outof5,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles",500
306,Donne Biriyani combos,0,No,,,400
307,Penthouse Cafe,0,No,4.0outof5,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",700
