name,online_order,book_table,rate,dish_liked,approx_cost(for two people)
Nandhini Deluxe,0,No,2.6outof5,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",600
Vi Ra's Bar and Restaurant,0,No,3.3outof5,Chilli Chicken,800
Kaggis,0,No,3.8outof5,,250
Ayda Persian Kitchen,0,No,3.7outof5,,950
Chatar Patar,0,No,3.7outof5,"Panipuri, Chaat, Noodles, Dahi Bhalle",300
Polar Bear,0,No,3.8outof5,Hot Chocolate Fudge,400
Kidambi's Kitchen,0,No,3.5outof5,Rooftop Ambience,300
Mane Thindi,0,No,3.7outof5,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",200
Kotian Karavali Restaurant,0,No,3.5outof5,,300
Floured-Baked With Love,0,No,3.8outof5,"Cup Cake, Chocolate Cake",400
CAFE NOVA,0,No,3.2outof5,,600
Cakes & Slices,0,No,3.5outof5,,300
Spice 9,0,No,3.4outof5,,300
Coffee Shopee,0,No,,,250
Naveen Kabab & Biriyani Mane,0,No,3.2outof5,,300
Katriguppe Donne Biryani,0,No,3.2outof5,,300
Hari Super Sandwich,0,No,NEW,,200
Atithi Point Ande Ka Funda,0,No,3.1outof5,,150
Just Bake,0,No,3.4outof5,,400
Dharwad Line Bazaar Mishra Pedha,0,No,,,150
Cake Bite,0,No,,,300
Aarush's Food Plaza,0,No,,,200
Wood Stove,0,No,,,150
Kulfi & More,0,No,,,150
Kannadigas Karavali,0,No,,,250
K27 - The Pub,0,No,3.1outof5,,"1,000"
Bengaluru Coffee House,0,No,4.1outof5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",300
New Mangalore Lunch Home,0,No,3.3outof5,,200
Coffee Bytes,0,No,3.1outof5,,100
Parjanya Chat Zone,0,No,3.3outof5,,200
Kwality Wall's Swirl's Happiness Station,0,No,2.9outof5,,200
Soms Kitchen & Bakes,0,No,,,400
Banashankari Nati Style,0,No,,,350
Ruchi Maayaka,0,No,3.3outof5,,100
Mohitesh Hut Roll,0,No,,,150
Sri Basaveshwar Jolada Rotti Oota,0,No,,,150
Roll Magic Fast Food,0,No,NEW,,200
Foodlieious Multi Cuisine,0,No,NEW,,100
Thanishka Nati And Karavali Style,0,No,NEW,,400
Swathi Cool Point,0,No,,,200
Kaumudis Juoice,0,No,,,150
Amma - Manae,0,No,,,400
Sri Sai Tiffannies,0,No,,,150
Hotel Andhra Speices,0,No,,,250
Sri Murari Family Restaurant,0,No,,,250
Aramane Donne Biriyani,0,No,,,150
Darkolates,0,No,,,200
Swaada Healthy Kitchen,0,No,,,350
Gawdaru Mane Beriyani,0,No,,,300
Melting Melodies,0,No,NEW,,100
New Indraprasta,0,No,NEW,,150
Anna Kuteera,0,No,4.0outof5,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa",450
Darbar,0,No,3.0outof5,"Paneer Tikka, Dal Kichadi, French Fries",800
Vijayalakshmi,0,No,3.9outof5,,200
Sri Udupi Food Hub,0,Yes,4.1outof5,"Filter Coffee, Masala Dosa, Idli, Vada",500
Udupi Upahar,0,No,3.8outof5,,300
House Of Kebabs,0,No,3.8outof5,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice",650
Roll N Rock,0,No,3.8outof5,"Rolls, Paratha, Chicken Biryani",400
BOX8- Desi Meals,0,No,4.1outof5,"Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad",500
KFC,0,No,3.8outof5,"Burgers, French Fries",450
Bitez,0,No,NEW,,100
Roll Over,0,No,4.1outof5,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie",500
Imperial Restaurant,0,No,3.7outof5,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",750
Lassi Shop,0,No,3.9outof5,,150
The Fortuna,0,No,3.0outof5,,250
Wahab,0,No,3.7outof5,"Chicken Biryani, Rolls",350
Al Diwan Biryanis And More,0,No,3.3outof5,,300
New Gowda's Fried Chicken,0,No,3.3outof5,,300
Canton,0,No,3.6outof5,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",800
Diabetics Dezire Sugarless Sweets and Bakes,0,No,3.3outof5,,300
The Blue Wagon - Kitchen,0,No,4.6outof5,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich",400
HOT COFFEE,0,No,4.1outof5,,150
Patio 805,0,Yes,4.1outof5,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","1,200"
Lassi Corner,0,No,3.7outof5,Lassi,150
Sagar Deluxe,0,No,3.2outof5,"Coffee, Chaat",300
Kanti Sweets,0,No,4.0outof5,,400
Vegetalia,0,No,3.7outof5,,400
Aramane Donne Biryani,0,No,3.5outof5,,200
Ande Ka Funda,0,No,3.8outof5,,250
Cake Ghar,0,No,3.8outof5,,400
Energy Addaa,0,No,4.2outof5,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",500
Bhattara Bhojana,0,No,3.6outof5,,150
Tandoori Knight,0,No,3.0outof5,"Chicken Grill, Biryani, Roti, Chicken Masala",450
Dev Sagar - Food Street,0,No,4.1outof5,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",200
Mitraa Da Pizza,0,No,3.8outof5,"Pizza, Burgers",250
Paradise Premium,0,No,3.1outof5,,700
Grazers,0,Yes,3.9outof5,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",650
Shakes Theory,0,No,4.5outof5,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri",300
@Italy,0,No,4.1outof5,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",700
Chilli Flakes,0,No,3.6outof5,,500
Calcutta Cafe,0,No,3.5outof5,,350
Old Mumbai Ice Cream,0,No,3.9outof5,Friendly Staff,150
Donne Biriyani House,0,No,3.9outof5,Biryani,400
By 2 Coffee,0,No,3.9outof5,,100
Kedia's Fun Food,0,No,4.3outof5,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",200
Davangere Butter Dosa Hotel,0,No,3.8outof5,,150
Just Shawarma,0,No,3.9outof5,"Whole Meat Shawarma, Fries",300
Mini Punjabi Dhaba,0,No,4.2outof5,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",350
Mulabagilu Dosa,0,No,3.6outof5,,100
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,0,No,4.1outof5,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",500
Gokul Veg,0,No,3.8outof5,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti",750
Olive - Era,0,No,3.3outof5,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",550
Udupi Ruchi,0,No,3.9outof5,,200
Madhappa Hindu Military Hotel,0,No,3.4outof5,,300
Gama Gama,0,No,3.9outof5,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",200
The Vintage Cafe,0,No,3.0outof5,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",400
Pizza Hut,0,No,3.8outof5,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread",750
Mangalore Pearl,0,No,3.8outof5,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",650
Asha Sweets Centre,0,No,3.6outof5,,250
Twiststick House,0,No,4.1outof5,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",500
Cool Corner,0,No,4.2outof5,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich",250
Pizza Mane,0,No,3.5outof5,"French Fries, Burgers",150
Dal Tadkaa,0,No,2.5outof5,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",500
Chutney Chang,0,Yes,4.1outof5,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","1,500"
Mystique Palate,0,No,4.1outof5,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",300
Thamboola,0,No,3.9outof5,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",800
Castle Rock,0,No,3.6outof5,Biryani,700
Vietnamese Kitchen,0,No,3.6outof5,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",700
Smacznego,0,No,4.2outof5,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",550
C Corner,0,No,3.2outof5,,200
Paratha Merchant,0,No,3.1outof5,,300
North Rasoe,0,No,3.1outof5,,500
Inchara Restaurant,0,No,,,300
Toscano,0,Yes,4.3outof5,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","1,300"
Lord Of The Kitchen,0,No,3.9outof5,,350
Stoned Monkey,0,No,4.3outof5,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu",500
Central Jail Restaurant,0,No,3.8outof5,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken",700
Bella,0,Yes,3.9outof5,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","1,000"
Vennela Andhra Meals,0,No,3.0outof5,,400
New Prashanth Hotel,0,No,3.6outof5,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",750
The Grillo,0,Yes,2.8outof5,,500
Re Malnad Nati Style Hotel,0,No,3.6outof5,,400
Karma Kaapi,0,No,4.4outof5,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano",250
Tiwari's,0,No,3.8outof5,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha",200
Pizza Stop,0,No,3.8outof5,"Pizza, White Sauce Pasta, Masala Garlic Bread",600
Biggies Burger 'n' More,0,No,3.6outof5,"Burgers, Fries, Mojito, Chicken Burger",650
Srinathji's Cafe,0,No,3.8outof5,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550
Kollapuri's,0,No,3.9outof5,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",450
Sugar Stars Co,0,No,,,300
Bombay Kulfis,0,No,,,200
Kadamba Classic,0,No,3.6outof5,,300
RS Shiv Sagar,0,No,3.7outof5,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda",450
Kholi Mane,0,No,3.6outof5,,450
Harshi Super Sandwich,0,No,3.8outof5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",150
Cake Yard,0,No,3.4outof5,,250
Rosewood International Hotel - Bar & Restaurant,0,No,3.6outof5,,800
Sri Udupi Veg,0,No,3.3outof5,,250
Cake Art,0,No,3.5outof5,,400
Aahar Cafe,0,No,,,100
Akash Gowdru Biryani Center,0,No,,,300
New Sri Udupi Restaurant,0,No,,,200
Potato House,0,No,3.4outof5,,200
Hotel Biriyani Counter,0,No,,,350
Matru Sagar,0,No,3.7outof5,,300
Ugadi,0,No,2.9outof5,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",700
Sri Krishna Sweets,0,No,3.7outof5,,250
In Time Cane Juice,0,No,3.5outof5,,100
Subway,0,No,3.7outof5,"Veggie Delight, Paneer Tikka, Salad",600
Daal Roti,0,No,2.9outof5,,250
The Lassi Park,0,No,4.1outof5,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",200
Cafe Coffee Day,0,No,3.2outof5,,900
A2B - Adyar Ananda Bhavan,0,No,3.8outof5,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath",400
Srikrishna Bhavan,0,No,3.8outof5,"Roti, Masala Dosa",300
Timepass Dinner,0,No,3.8outof5,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",600
Green Gardenia,0,No,3.8outof5,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti",700
J Spice,0,No,3.8outof5,"Stuffed Mushroom, Chicken Biryani, Jal-jeera",750
Karavali Family Restaurant,0,No,3.5outof5,,500
Karavali Lunch Home,0,No,3.7outof5,,350
Hatti Kaapi,0,No,4.0outof5,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa",200
Kolkata Kathi Roll's,0,No,3.6outof5,,250
Upahara Darshini,0,No,3.9outof5,Masala Dosa,600
The Chaat Shop,0,No,2.5outof5,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",200
Anda Ka Funda,0,No,3.4outof5,,250
Shri Vinayaka Ice N Juice,0,No,3.2outof5,,150
My Tea House,0,No,3.6outof5,"Pasta, Iced Tea",600
Ibaco,0,No,3.9outof5,,300
Jalaram Sweets,0,No,3.8outof5,,250
Samskruti - Sanman Gardenia,0,No,4.1outof5,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka",550
Bendakaluru Bytes,0,No,3.2outof5,,300
Cocoa Bakes,0,No,3.6outof5,,350
Chumma Delicious,0,No,3.7outof5,Chicken Biryani,200
New Prashanth Hotel,0,No,3.9outof5,"Chicken Biryani, Ragi Mudde, Mutton Chops",650
SSV Upahar,0,No,NEW,,300
Dwaraka Grand,0,No,3.9outof5,"Masala Dosa, Coffee",500
Gufha - The President Hotel,0,Yes,4.1outof5,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","1,200"
Cafe Vivacity,0,No,3.8outof5,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",650
Tanna's Kitchen,0,No,3.1outof5,,250
Shree Mandarathi Grand,0,No,3.7outof5,,400
Mojo Pizza - 2X Toppings,0,No,4.2outof5,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",600
Iceberg Icecreams,0,No,4.0outof5,,250
South Kitchen,0,No,4.3outof5,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",100
Chung Wah,0,No,3.7outof5,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings",850
Shanthi Sagar,0,No,3.1outof5,,400
Millet Mama,0,No,3.9outof5,,200
Bangarpet Chat Express,0,No,3.3outof5,,100
South Cool Point,0,No,,,100
Prems Graama Bhojanam,0,No,4.3outof5,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",400
Java City,0,No,2.6outof5,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza",450
Kamat Bugle Rock,0,No,3.9outof5,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani",300
Woodee Pizza,0,No,3.7outof5,"Pizza, Garlic Bread",500
Puliyogare Point,0,No,4.2outof5,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",100
Bangalore Agarwal Bhavan,0,No,3.9outof5,"Paratha, Coffee, Halwa, Lassi",400
Rustic Stove,0,No,3.8outof5,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish",900
Udupi Ruchi Grand,0,No,4.2outof5,,200
De Thaali,0,No,3.9outof5,"Malai Kofta, Sandwich, Naan",550
Spice Elephant,0,No,4.1outof5,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",800
Just Thindi,0,No,3.6outof5,,200
Matru Sagar,0,No,3.6outof5,"Coffee, Masala Dosa",250
Vasanth Vihar - Since 1965,0,No,3.6outof5,,150
Sea Spice by 7 Star,0,Yes,4.0outof5,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","1,200"
Desi Dawat,0,No,3.7outof5,"Tandoori Chicken, Rolls",400
Cafe Aira,0,No,4.1outof5,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles",500
Donne Biriyani combos,0,No,,,400
Penthouse Cafe,0,No,4.0outof5,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",700
Mast Punjabi,0,No,2.6outof5,Aloo Paratha,400
South Grand,0,No,3.4outof5,Rava Dosa,400
Catch-up-ino,0,No,3.9outof5,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",800
The Pizzeria,0,No,2.8outof5,Pesto Pizza,800
Cafe Zone,0,No,3.9outof5,,300
Ruchis Point,0,No,3.8outof5,"Sandwiches, Noodles, Sandwich",200
Firangi Bake,0,No,4.0outof5,"Lasagne, Steak, Masala Quesadilla, Garlic Bread",600
The Royal Corner - Pai Viceroy,0,Yes,4.2outof5,"Breakfast Buffet, Kulcha, Almond Soup, Lunch Buffet, Roti, Mocktails, Vegetarian",900
Hara Fine Dine,0,Yes,4.0outof5,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan",800
Chocoberry,0,No,3.5outof5,"Waffles, Cup Cake, Chocolate Cake",400
Dakshin Grand,0,No,3.0outof5,,300
Sandwichwallas,0,No,3.7outof5,,200
Chai Mane,0,No,3.6outof5,,150
SLV Upachar,0,No,3.1outof5,,250
Waffle-A-Go Go,0,No,3.9outof5,Waffles,400
